title,review_text,review_date,reviewer_name,review_score
ouija_origin_of_evil,"A Lackluster Haunting: Unveiling the Mediocrity of 'Ouija: Origin of Evil'

Well, well, well, where do I even begin with this so-called ""Ouija Origin of Evil""? Let's just say, this movie was a solid 6 out of 10 on my scale – and by solid, I mean it was okay, but nothing to write home about. Now, before you get all defensive about your beloved supernatural flick, let me explain why I feel this way.

First of all, let's talk about the plot. A widow and her two daughters using an Ouija board to help people move on with life? Come on, really? I mean, I've heard of unconventional therapies, but this takes it to a whole new level. It's like they're trying to combine therapy and spiritualism in the most bizarre way possible. And to make matters worse, they interact with a spirit that ends up possessing Doris, the youngest daughter. Classic mistake, right?

Now, I don't know about you, but when I sit down to watch a horror movie, I want to be scared out of my wits. I want shivers down my spine and to be afraid of the dark for weeks on end. But unfortunately, ""Ouija Origin of Evil"" failed to deliver on that front. The scares were so cliché and predictable that I found myself saying, ""Oh, look, another jump scare. How original.""

And let's not even get started on the setting. 1967 Los Angeles? Really? I get it, the retro vibes can be cool, but this just felt forced. It's like they were desperately trying to ride the nostalgia wave, but it ended up falling flat. I mean, come on, couldn't they have chosen a more unique and interesting location?

But perhaps what disappoints me the most is how this movie never quite lives up to its potential. With such an intriguing premise, I was expecting a rollercoaster ride of emotions and a deep exploration of the human psyche. Instead, I was met with a half-hearted attempt to scare the audience and a plot that seemed to be riddled with inconsistencies.

All in all, ""Ouija Origin of Evil"" was a letdown. It didn't live up to the hype, the scares were lackluster, and the plot felt underdeveloped. But hey, at least it provided some unintentional laughs and a few hours of mindless entertainment. So, if you're looking for a movie to kill some time and have a few chuckles, give it a shot. Just don't expect a masterpiece, because trust me, this ain't it.

All in all, ""Ouija Origin of Evil"" was a letdown. It didn't live up to the hype, the fears were lackluster, and the plot felt underdeveloped. But hey, at least it provided some unintentional screams and a few hours of mindless terror. So, if you're looking for a movie to kill some time and have a few heart-pounding moments, give it a shot. Just don't expect a masterpiece, because trust me, this ain't it.","Jun 28, 2023",Carl J,3
ouija_origin_of_evil,"A lot of the elements in this movie hit really well, and a lot of them didn't. The movie struggles to keep the suspense as the movie gets closer to the end. The special effects lacked and took me out of the movie multiple times.","Apr 19, 2023",Dan B,3
malignant_2021,Nice twist in the 3rd act.  This has the makings of a new cult classic.,"Apr 7, 2024",Kevin H,3
malignant_2021,"Slasher, horror movie with a bizarre premise I'd never seen before. Neat how it takes the supernatural into the real world. Of course it's got plenty of nonsensical stuff and most of the time it's ridiculous. You have to take it for what it is. Just silly horror. You must suspend every piece of rationale thinking you possess before watching.","Apr 1, 2024",Angel N,3
malignant_2021,It has a potential of another hit franchise from horror genius James Wan.,"Mar 27, 2024",Emilliano Jr S,3
malignant_2021,Malignant is a very new horror film with an unexpected ending and beautiful murders. Should I go to the cinema? Definitely. Is it fresh? Yes!,"Mar 22, 2024",R-T T,5
malignant_2021,"The plot of the entire film is in the credits sequence, which seems to have been stolen from a much better film ""Se7en"". The plot itself isn't new, watch Basket Case instead.","Mar 21, 2024",Matt M,1
malignant_2021,"When I was younger, I saw the dumbest, most ridiculous horror movie in my life..... and then tonight I watched Malignant. Two hours of my life that I will never get back. But the best part is......I guess the silver lining anyways, is that an hour and a half into the movie it just becomes a comedy movie. But now I am invested in the movie, so I'll just laugh for the last 30 minutes.","Mar 19, 2024",Michael G,0
malignant_2021,A horror crime movie with a unique twist.  Definitely worth the watch.,"Mar 10, 2024",Captain A,4
malignant_2021,"Very underrated!! Good acting, good storyline, GREAT PLOT TWIST. watched this like five times.","Mar 7, 2024",Mia 5,5
malignant_2021,This movie... It was a typical James Wan horror but it wasn't to scary but then that ending was bonkers and I loved it!,"Mar 5, 2024",Michael P,4
malignant_2021,"Le twist est génial et inattendu, une réalisation parfaite (surtout dans la scène du massacre au poste de police) et une ambiance bien glauque qui est hyper bien balancée avec une petite dose d'humour. Parfait !!","Feb 18, 2024",Jules N,5
malignant_2021,The reveal of the monster is absolutely insane.  I loved it!!!!,"Feb 10, 2024",John S,5
malignant_2021,The acting and cheesy soundtrack makes it almost unbearable.,"Feb 4, 2024",Azalea F,1
malignant_2021,"Wow, this was terrible. The effects get cheesier as the movie goes on and on, notice I didn't say progress because it's never ending. The characters keep switching between it's a parasitic twin and it's a demon, it's honestly ridiculous. There are multiple times in the movie with plot holes. For example if Gabriel is part of Emily, how did the detective get a phone call from Gabriel while interviewing Emily? Also when Emily is asked how she talked to Gabriel, she says through the devil. Even the script is terrible. I genuinely feel bad for everyone who spent their time on this movie.","Feb 2, 2024",Sheena S,0
malignant_2021,"The horror parts of the movie were Incredible. For some reason, the rest of the plot changed in tone constantly from horror to cop show to martial arts. Arguably one of the best fighting scenes that did not fit into the movie.","Jan 30, 2024",Gwyneth E,3
malignant_2021,"New cult classic in the making 

Very different story but had a Drag Me To Hell vibe to it.","Jan 27, 2024",LOTI,4
malignant_2021,"Possibly the most insane movie I've ever seen, in a good way. So many memorable moments and the action scenes are so cool. It's a pretty absurd concept but it turned out perfectly.","Jan 25, 2024",Chase C,4
malignant_2021,"Um excelente filme de terror, tem uma direção que se destaca muito, com certeza um dos melhores trabalhos de James Wan no terror, onde ele consegue criar todo o ambiente e causar um terror psicológico grande antes de qualquer susto, sem contar com algumas cenas de ação e porradaria muito bem dirigidas. Talvez o filme acaba decaindo tratando-se do roteiro, mas no geral é um bom filme de terror/suspense.","Jan 21, 2024",JoÃ£o B,3
malignant_2021,"Malignant was fun at times, the first hour or so was fairly eerie then it became a little desperate & cheesy with a few good fight scenes. The only chills I got were from the very ropey acting. More suspense & less boring blood & gore would have been a much better direction but that's all subjective.","Jan 20, 2024",Jon,2
malignant_2021,"Terrible dialogue, terrible music, the actors deserved more to work with.","Jan 15, 2024",Metal T,2
malignant_2021,"I really enjoyed this. I like horror movies with character who have forgotten their memories, or have something buried from the past, that eventually comes back to haunt them. I also found the research they were doing on the young girl to add to the horror of this movie. That instead of helping this child they studied her, and now it has affected her future. While the huge action scene near the end was over the top and others are saying it is not realistic, it is a fictional movie and it was exciting to watch. If you like horror movies with a twist, with creepy medical incidents, or main character's unwanted memories from the past surfacing and wreaking havoc on their life, I would definitely recommend this movie. My only complaint is the abrupt ending, I would've liked to known what happened to the detectives and what became of Madison next.","Jan 12, 2024",ScarletSerena K,4
bird_box,All around great movie 🎬,"Mar 14, 2024",Calvin T,4
bird_box,While quiet place was the better one bird box is still enjoyable enough to watch even if it could have been better,"Mar 6, 2024",Spike G,3
bird_box,"This is a somewhat effective, frequently engaging but not particularly memorable thriller that many will undoubtedly compare to the superior A QUIET PLACE which opened earlier in the year. Supporting characters and performances range from good to overwrought, and I didn't think the non-linear framing device was necessary or particularly enhanced the experience. It's certainly a good time-passer on a snowy afternoon, but I doubt you'll remember much about it a day or two later. SPOILER ALERT: Just a note to filmmakers in the future - when you have a priceless commodity like Sarah Paulson, don't relegate her to a glorified cameo.","Feb 11, 2024",Jeff M,3
bird_box,"Starts off being very interestingly, but then it slowly derails into agony for the viewer, and not because of the suspense.
If you want to watch an apocalyptic gem go for Leave the World Behind.
Bird Box is a dud.","Feb 7, 2024",Takis T,2
bird_box,"The movie has some effective set pieces, more than I was anticipating actually. Unfortunately the screenplay is filled with cliches and the world building is too vague.","Jan 5, 2024",Alec B,2
bird_box,Sandra Bullock did a great job as the lead very solid movie with steaks but you definitely could tell they were out for a quiet place success,"Dec 24, 2023",Reviewer not found,3
bird_box,Movie was kind of ridiculous. I'd rather watch dishes than wash this movie again.,"Dec 19, 2023",Chad B,0
bird_box,"This movie had more potential than it was able to accomplish, it plays with the idea that people can't see in clever ways, but seems to fall apart by the end. Also it tries to explain its monster, while still keeping it mysterious, that rarely works, and it didn't.","Nov 26, 2023",Raiodesol S,2
bird_box,"Sandra Bullock protagoniza este thriller que es una historia apocalíptica vista en otras películas, pero con algo mucho más original que no se ha visto en otras películas de este tipo. Aquí la humanidad es víctima de una amenaza indescriptible que genera locura en aquellos quienes la ven. Se trata de algo que no se puede ver o enfrentar cara a cara y ni siquiera se le muestra al espectador que es esta entidad. La película presenta un enemigo invisible que no se puede describir y solo queda bajo la imaginación de la audiencia. La verdad eso hace que la película sea bastante intrigante y que haga a los nuevos espectadores preguntarse como van a sobrevivir a algo con lo que no pueden tener contacto visual. Eso hace que la película se sienta como algo al nivel del horror cósmico. Es bastante sencilla y cuenta con una interesante banda sonora por parte de dos miembros de la banda Nine Inch Nails. Bird Box no es diferente de otras películas con temática apocalíptica, pero su concepto de una amenaza que no se puede ver hace que sea algo distinto, haciéndola única a su manera. Mi calificación final para esta película es un 8/10.","Nov 24, 2023",Elvis D,4
bird_box,A very original premise with Sandra Bullock providing a top notch performance in this intense movie. Not sure what's up with the low scores. I thought it was awesome.,"Oct 19, 2023",randumb2020,5
bird_box,Great movie but lack some important things about the characters involved in the house. Still makes you think about them after the end of the movie.,"Sep 23, 2023",Lloyd S,3
bird_box,"I think Bird Box is a justifiably polarizing movie, and you should take each review with a pinch of salt. I wouldn't consider this film underwhelming because it effectively builds tension and suspense, and I think those are key elements to successfully delivering a horror flick. It may also not rank as one of the finest movies due to its ineffective structure and the shortcomings in its narrative credibility. The movie is unlike a lot of its horror counterparts because it doesn't rely on a tangible threat to drive its story. This makes it harder to put ourselves in the characters' shoes and thoroughly assess the situations they're thrust in. It also feeds the uneasiness that the movie so badly wants you to feel. You might argue that it also allows the writers to get away with certain loopholes. To that, I say not everything requires laid-out answers. You could also tell that the film isn't very invested in the logistics of things. It's more concerned with painting a portrait of humanity in the face of a world-ending event. Admittedly, other productions have done a better job, but those efforts aren't fruitless here. I was completely entertained. Bird Box is an entertaining take on sci-fi horror with its interesting premise, unsettling atmosphere and wonderful performances from its cast.","Sep 19, 2023",Arnold O,4
bird_box,"I honestly wish I'd read the book to this because this is a very good idea, just badly executed. This takes place in the not-so-distant future where an emergency situation occurs. People must stay inside as they can be easily killed by hallucinations they see and hear. Sandra Bullock is a woman who was pregnant at the time of this emergency who found shelter with several others. Her husband died in the initial chaos. She gave birth at the same time as another woman but shortly after the other woman's birth, she looked out the window which caused her to die. Now Sandra Bullock cares for both her child and the virtual stranger's. She hears of a safer place for herself and her children and readies herself with ear plugs and blindfolds for the three and is traveling by boat to what she hopes is salvation. I just personally didn't find any of the ""monsters"" they showed to be threatening. It's also not a unique concept to have horror movie monsters be able to mimic voices of loved ones long dead. It is also extremely unrealistic that a woman with two six year olds would be able to navigate anywhere blindfolded and with ear plugs. It's not like a horror movie needs to be realistic but this read more survival story which I feel should be somewhat realistic.","Sep 19, 2023",Carson C,2
bird_box,Avoid this garbage with everything you can. You'll just waste 2 precious hours of your lifetime watching a steaming pile of turd.,"Aug 23, 2023",Darius,0
bird_box,horrifying but quite entertaining,"Aug 19, 2023",Zach L,3
bird_box,"3 & 1/4 stars.  This sci fi had a great premise, but ended up a little soft.  And since this was a creature feature, it would have been nice to see the creature.","Aug 14, 2023",Georgan G,3
bird_box,"The low rating here must be a glitch or something cuz this movie is very good ! Very entertaining. Sandra Bullock really can play any role flawlessly, even if it means us hating her on it.","Aug 11, 2023",Paul S,5
bird_box,"Elements of A Quiet Place and The Silence run throughout, as the premises each share similarities. Unfortunately, this shares none of their tension and suspense. The writing lets this down in that regard, as there are a lot of unanswered questions… none of which enhance the story or leave a sense of intrigue. It is interesting enough, but could have been more","Aug 4, 2023",Dave C,3
bird_box,The movie was great. The ending left me with much to be desired. If you're a person who like closure with a movie this one isn't for you. It's very unique for those who like movies that leave the ending up to the imagination.,"Jul 30, 2023",Lucid C,2
bird_box,"SUCHA good plot! Loved this movie was on the edge of my seat most of the movie! Never got bored , was always so attentive to every detail, they made great choices for character roles!","Jul 29, 2023",KittyCritic C,4
the_rental_2020,"Some of it feels familiar, but there is enough depth and atmosphere to make it different. I like that you're left with a lot of questions, and don't really know what's going on. I think the main issue dragging it down is that  you're not rooting for anyone. Each character ranges from obnoxious to full on scummy. If there is a sequel, a bit of pathos, for someone, would go a long way.","Mar 30, 2024",Robert  G,3
the_rental_2020,"It's a mix of drama and horror. The build-up of suspense during the first hour pulled me in, but the ending really lets the air out of the balloon. The only way the ending makes sense is if Franco is trying to set up for a sequel. I did think the acting and cinematography were great. Worth it if you're bored and want a movie to watch, but that's about it.","Mar 26, 2024",Andrew M,2
the_rental_2020,"The 4 main protagonists are so obnoxious and idiotic in this movie, does it even matter what happen to them? Not one of them seem to have a redeemable quality, representing the epitome of the pretentious and self-absorbed Bay Area mentality.","Jan 28, 2024",Antoine K,2
the_rental_2020,"Plods along ok, gets weird later. Not a patch on cabin in the woods obvs.","Dec 30, 2023",Alexis J,2
the_rental_2020,Held my interest until the end. Potentially good story collapsed at the finish line. Don't waste your time.,"Nov 14, 2023",wes,0
the_rental_2020,"Awful. Well acted, pretty tense, awful 3rd act. Seriously, what a waste of time. Which is too bad because it had a lot of promise with two very well done acts.","Nov 5, 2023",Patrick H,0
the_rental_2020,"I'm down for anything with Jeremy Allen White, and The Rental is no exception. Creepy thriller with some solid acting from the small cast. Dave Franco didn't do anything ground breaking in his directorial debut but he got the little things right when building the suspense to the final act.","Nov 1, 2023",Brent G,3
the_rental_2020,"It's watchable, while you're watching it. But when you come to think back over it, none of it really makes any sense, or has any meaning.","Oct 14, 2023",Johnny H,3
the_rental_2020,"Very anticlimactic, very little suspense. Went in looking for a slasher, got a very boring drama that happened to have a hammer or two and a missing dog. Highly disappointed.","Oct 6, 2023",Mathieu M,0
the_rental_2020,"Not sure why this movie has gotten any hate, the jump scares got us pretty good and the ending was fantastic! Sure, it wasn't ""anything new"", but it was a good time!","Oct 1, 2023",Nic W,5
the_rental_2020,"I'm not a big slasher film guy but this one changed my attitude. Some persuasive performances mixed in with some true to date possibilities we all could face, make your face fixed on the tv screen instead of your phone. Wicked fun.","Sep 26, 2023",Brett R,4
the_rental_2020,"The Rental touches on some sensitive societal issues which might explain why it is receiving lower ratings than it deserves. But like one of the protagonists says while driving to the rental: ""discrimination still exists"". If you have a problem with ""wokeness"" 😪, then go watch a different movie. For the rest of us who can enjoy a good horror movie without getting our feel feels hurt, this movie is pretty good. The actors are pleasing to look at. The dialogue is fantastic. Some nudity, a butt crack and some sexual infidelity. Plus a fair amount of physical violence, and a general sense of discomfort until the action starts. It's a medium burn. It is not slow, but it isn't fast paced either.To be critical, the movie tends to borrow from the commonly done trope of people being stranded out in the wilderness and there's somebody spying on them. Maybe even reminiscent of I Know what you Did Last Summer when the protagonists are panicking because there's a corpse that needs to be done away with.  But, I'd rather be positive and say that it hits on the checklist most of what is necessary to make a good horror movie. I like it and unfortunately, it is leaving Netlfx soon 😔","Sep 20, 2023",Nina E,4
the_rental_2020,Dark. Literally so dark at times. Tried to like it. Really I did.,"Sep 16, 2023",Lisa B,1
the_rental_2020,"4 woketards rent a property. Take molly and cheat on each other. Then they murder the scary rayciss proprietor. They end up getting picked off one by one in a very anticlimactic ending. The one non-White indian chick lasts the longest and almost fends off the scary boogeyman. Stunning and brave...

I give it 5 rainbow dildos and certify that it is gay AF. Wouldn't recommend. You'd be better off watching literally anything else. No wonder they don't want to pay these dumb writers more $, they cannot tell a story for shiza. A script written by autistic 5th graders would have been much better.","Sep 16, 2023",Turd F,0
the_rental_2020,Watched this whole movie and it made no sense. Zero. I could tell you here but it would ruin it for you so I won’t. But trust me. 4 people do a rental and then stuff happens. You can’t track credit cards etc.,"Sep 10, 2023",Reviewer not found,0
the_rental_2020,"I'm glade they allow half start ratings here, because I think this is exactly the kind of film that thing is for. It's clearly better than average (3 stars). But it's definitely not awesome either. It does what it does so well, but it takes so long getting there that it really feels like it should have been part of a anthology series and cut to 1 hour. But I think the extra time makes their situation more believable, to an extent. Despite the beginning being well done, well acted, well shot, etc, it just feels a bit boring. There's such a thing as too subtle and too slow burn. Once it gets going it's good, especially for a horror film, it feels wonderfully more hitchcock than most slasher films these days. But it took so long getter there. If only they'd shortened the beginning a bit and lengthened the end a bit. And I'm not sure horror fans will be pleased, since it's more subtle than most of those, which I'm happy about, since I'm not into modern horror much, but horror fans may be let down. Thriller fans might be bored. But if you're a fan of drama and thrillers, this is a nice two for one. But in the end, despite the good acting (I'm a big Alison Brie fan) and the more subtle take on the genre, I will likely forget I watched this film. I would be interested in seen another film by the director in the future, he's got a good take here that's worth exploring and refining. If it catches on, heck, I'll even be a horror movie fan. But I think it might have done better as part of a horror anthology series with a 15 minute shorter running time.","Sep 8, 2023",Nathaniel C,3
the_rental_2020,"Boring, pathetic pandering. Repetitive use of ""racist"" towards a white man acting as an agent for his brother-renting to two white couples that cheat on each other and attempting to hide their indiscretion from their partners from seeing a hidden camera recording of them cheating. Just boring!!!","Sep 4, 2023",Terri W,0
the_rental_2020,"Slasher horror film vibes. Perfect film, if you want to get creeped out and KILL time on a long weekend.","Sep 4, 2023",hector g,5
the_rental_2020,It's ok kind of weird how they forced racism cuz one white girlfriend was Muslim not like one can tell lol,"Sep 2, 2023",S S,3
the_rental_2020,"The movie was pointless. They shouldve had a bigger cast. Four people isnt enough for something like this. They also failed at making it scary, just made them all get wiped out so easily. Some how the one girl crashes with zero distractions. She lightly hit a tree and can no longer move her car. She barely got 5 minutes away. She was completely sober while doing this too. It was just a setup for a murder. How did the killer even know she wasnt going to be able to drive away.","Aug 20, 2023",Zaid,1
im_thinking_of_ending_things,"I'm not qualified to talk about this film in any kind of informed way. I don't know the source novel or author, and the genre is not one I usually hang around in. 

But Jesse Buckley, Jeez. And Plemons. 

And Collette? How can this not be an amazing film? And it is. 

Painful, joyful, insightful, and mysterious. Lovely, panic attack-inducing, and unforgettable. Profoundly truthful, and difficult to escape after it ends. But worth the experience, far, far and again, worth it. 

Plus, David Thewlis steals scenes with just a glance, or a wave of his hand. 

Toni Collette has been burning up screens and scenes for a long time, and I've always gravitated toward her work. And then I saw Hereditary. After that, I've given her (ticket) money any time I could find an excuse.

Just a marvelous movie. Highly recommend. And I love cold and snowy weather so it was made for me.","Mar 15, 2024",Alan H,5
im_thinking_of_ending_things,"This is an artistic film that makes sense, only in retrospect. There isn't a natural plot - even though your mind strains to sift one out of the odd and seemingly random things that keep happening. 

If you appreciate a slow burn, and thinking back on what you have seen; linking it together with human experience, this will be a worthwhile watch for you.","Mar 8, 2024",Ben N,4
im_thinking_of_ending_things,Excellent actors exercising their talents - or excellent actors masturbating? Amazing auteur - or artsy word salad & emotions that I'm not refined enough to understand? Where's Roger Ebert when you need him?! * sigh * PS - They all talked really fast and the wardrobe changes were confusing.,"Mar 8, 2024",Lisa W,1
im_thinking_of_ending_things,"Pretentious yet predictable, way too long and removes the only good part of the novel which is the ending. 
2 hours wasted.","Mar 5, 2024",Gabriele M,0
im_thinking_of_ending_things,"A disorienting introspective journey through fantasy and regret that serves as a cruel reminder of the uncontrollable and sometimes self-loathing nature of our minds. Even in our daydreams, we are not guaranteed the fulfillment of our desires.","Feb 26, 2024",Nushie S,4
im_thinking_of_ending_things,"I'd rather paint my entire house with a Q-tip than subject anyone from watching this movie. Horrible, should of ended it after 10 minutes.","Feb 11, 2024",Casey Y,0
im_thinking_of_ending_things,"There comes a time when they say the book is better than the movie, or people argue the opposite, but I think we can all agree that the Book and the Movie were two of the biggest pieces of garbage ever done. Trying to be artsy for the sake of being artsy, but it turned out it ended up being FARTSY, and not even in the funny way.  Stear Clear....stear VERY clear.","Feb 2, 2024",Adam N,0
im_thinking_of_ending_things,Ive seen this film about 3 times and i swear it makes less sense.,"Feb 2, 2024",Nathan E,2
im_thinking_of_ending_things,"Upon reflection, one recognises that the experience of watching this film was not only fraught with discomfort but also disappointingly banal.","Jan 26, 2024",Carla S,1
im_thinking_of_ending_things,I signed up for Rotten Tomatoes just to give this movie the lowest rating that I could. Doesn't follow the book. Terrible.,"Jan 22, 2024",Travis W,0
im_thinking_of_ending_things,Look at how smart I am. - Charlie Kaufman,"Jan 16, 2024",j z,1
im_thinking_of_ending_things,Kaufman captures a specific kind of melancholy here. A nostalgic grief for our perceptions of the past more built on emotion than truth. That the movie is also quite funny is a remarkable achievement.,"Jan 9, 2024",Alec B,4
im_thinking_of_ending_things,"I felt every emotion in this film, the biggest being of longing and reassurance.","Jan 8, 2024",S L,5
im_thinking_of_ending_things,"If you're given a choice to watch this movie or drink poison, choose the latter.","Jan 1, 2024",Cindy R,0
im_thinking_of_ending_things,"This is not an action film, nor is it a romantic story. It's a surreal thriller. It tells the story of two lonely people in a relationship. He takes her in his car to meet her parents who live in a remote farm. Most scenes are filmed at night during a blizzard, giving the movie a gloomy atmosphere. Nothing particularly remarkable happens in this story, except for the ending that is a succession of surrealistic, seemingly incomprehensible scenes. I think this is the part that contains the great meaning that the film intends to transmit — even if it is a metaphor that for most people is almost impossible to solve. However, —whether we like it or not— this film has some artistic merits. The atmosphere is excellent, the visual effects are good, the feeling of loneliness and isolation is permanent and the dialogues are very natural. In the end, these images will remain for a time in the mind of the viewer.","Nov 24, 2023",Luis M. D,4
im_thinking_of_ending_things,What the hell did I just watch,"Nov 20, 2023",Movie S,0
im_thinking_of_ending_things,"This is a very cerebral film and requires your full attention. If you're looking for action and visual stimulation and want the plot completely laid out for you from the start, this probably isn't the movie for you. 
It doesn't deserve all the 1 stars it's getting from people who are confused and prefer mindless entertainment. 
But if you enjoy movies with lots of dialogue and puzzling things out or movies that make you feel like you're in a surreal dream state, this movie will really make you wonder as you slowly try to piece everything out. 
While you may not feel happy or giddy while watching, it draws you in and makes you feel like the character. It does exactly what it's supposed to do in making you relate to them while feeling the same sort of dread, indifference, and dreamlike confusion. 
Even after it ends, you still find yourself lost in your own thoughts. 

Pro tip: watching under the influence of certain plants or meds can be a very trippy experience","Nov 16, 2023",leslie d,5
im_thinking_of_ending_things,This was the perfect movie during COVID. Surreal and talked a lot about isolation perfectly.,"Nov 1, 2023",Reviewer not found,5
im_thinking_of_ending_things,This movie is a masterpiece,"Oct 31, 2023",Daisy J,5
im_thinking_of_ending_things,"Charlie Kaufman fully delivers on the surrealism expected from his earlier work with ""I'm Thinking of Ending Things,"" a film that keeps the audience perpetually in suspense and dread without ever explaining why. Right from the beginning, when Jake (Jesse Plemons) interrupts the Young Woman's (an outstandingly unnerving Jessie Buckley) internal monologue and seems to know what she's thinking, the audience can feel the existential dread felt by the Young Woman—and Jake.

The film only gets better from the beginning, expertly utilizing what little is revealed through tremendous performances (Toni Collette is, as always, particularly mesmerizing), haunting visuals, and claustrophobic cinematography to ratchet up suspense until the hair-raising climax. Indeed, the slow pacing may be off-putting for some viewers, but hanging through until the end will leave the audience with more satisfaction than almost every other movie out of Hollywood today.

While not a traditional horror, thriller, or drama film, it can still be easily classified as such, elevating all genres to new heights through a careful, poetic meditation on loneliness, regret, and delusion. If you grasp the ending, the film leaves a beautiful scar in your heart, and if you don't, you still leave with the lingering dread the film is so excellently steeped in.","Oct 20, 2023",Cameron P,5
cam,"It's a close quarters chiller set in limited surroundings, with a feel of ‘Host' about it, just without the ghosts. The premise is good, but isn't carried by the directing or the writing. Ideally, it should be shorter to keep the thrill and suspense alive, and/or it should be supported by stronger scriptwriting","Nov 2, 2023",Dave C,2
cam,"Ele é agonizante e perturbador de um jeito muito bom, as atuações são medianas e tem uma ótima proposta mas é meio confuso as vezes.","Oct 5, 2023",Mu S,3
cam,"I thought this movie was odd, somewhat confusing, and trippy, but still a decent and interesting movie","Oct 3, 2023",AblissMusic,3
cam,A ver es buena pero no tiene sentido pero es genial buen suspenso  y una protagonista agradable y es muy entretenida es un 7.8 de 10,"Sep 29, 2023",ana luisa u,3
cam,"Quite possibly the worst movie I've ever seen so far with an extremely weak tension build up, countless NSFW scenes that serve no purpose to the plot whatsoever (in typical Netflix movie fashion), with the plot itself being the single most inconclusive story every written, topped off by the dumbest ending imaginable. Worst possible way to waste 90 minutes of your life.","Sep 10, 2023",Carlo A,0
cam,The film is absolute horror and the purest psychological thriller! they act like they hurt themselves and even kill themselves! Such films should simply be blocked and reported!,"Sep 2, 2023",Emm B,0
cam,i think is movie was so scare and i worry alot about lady in movie because is can real happen in real life to someone,"Aug 8, 2023",jrb j,2
